SW_ID,TYPE_C,TYPE_D,MATERIAL_C,MATERIAL_D,GeoJSON
1874,1,Concrete,1,CONCRETE,"{""type"":""Polygon"",""coordinates"":[[[380458.3265,4901986.3234],[380460.0265,4901988.1234],[380477.3388,4901988.7642],[380478.0069,4901987.8642],[380478.1469,4901987.2642],[380458.3265,4901986.3234]]]}"
1875,1,Concrete,1,CONCRETE,"{""type"":""Polygon"",""coordinates"":[[[376743.0637,4901975.7184],[376743.0637,4901977.1285],[376753.6886,4901977.1982],[376753.7736,4901975.8482],[376743.0637,4901975.7184]]]}"
1877,1,Concrete,1,CONCRETE,"{""type"":""Polygon"",""coordinates"":[[[376902.033,4901941.5344],[376894.5532,4901947.9647],[376895.3532,4901952.9948],[376889.5234,4901958.6151],[376888.1505,4901968.8603],[376889.5634,4901969.7464],[376891.2334,4901960.0751],[376897.5233,4901956.8748],[376901.2732,4901959.7049],[376902.8632,4901959.6547],[376911.6231,4901952.1044],[376911.7631,4901945.6142],[376907.693,4901941.8642],[376902.033,4901941.5344]],[[376903.5381,4901945.4524],[376906.1841,4901946.1134],[376907.8681,4901947.5564],[376907.9881,4901950.6215],[376903.5392,4901954.1687],[376900.8322,4901954.5287],[376898.4272,4901952.2447],[376898.9082,4901949.7207],[376903.5381,4901945.4524]]]}"
1887,1,Concrete,1,CONCRETE,"{""type"":""Polygon"",""coordinates"":[[[381482.6658,4901934.3108],[381482.1658,4901934.3108],[381481.8658,4901934.6108],[381481.3657,4901935.8108],[381510.7673,4901938.41],[381520.2675,4901939.4097],[381588.8596,4901945.7787],[381588.3697,4901944.5087],[381588.0197,4901944.0587],[381587.5696,4901944.0087],[381529.5676,4901938.9094],[381482.6658,4901934.3108]]]}"
1973,1,Concrete,1,CONCRETE,"{""type"":""Polygon"",""coordinates"":[[[378612.6926,4901859.2919],[378607.1926,4901859.292],[378607.4925,4901867.1922],[378607.4934,4901889.6938],[378602.7933,4901889.7928],[378602.1933,4901889.9928],[378601.4933,4901890.5928],[378601.0933,4901891.5928],[378601.0933,4901892.1929],[378601.3934,4901892.9929],[378601.6934,4901893.3929],[378602.5934,4901893.894],[378607.6934,4901894.1939],[378606.8931,4901933.2949],[378609.7432,4901933.2948],[378609.6632,4901923.3046],[378612.1432,4901923.5045],[378612.3133,4901918.5554],[378609.6932,4901918.5944],[378609.3926,4901864.5921],[378636.6936,4901864.3928],[378636.9933,4901918.3952],[378639.2943,4901918.2781],[378639.4934,4901893.6945],[378644.1935,4901893.5944],[378644.9935,4901893.1944],[378645.4935,4901892.4944],[378645.6935,4901891.7944],[378645.5935,4901890.9943],[378645.1934,4901890.1943],[378644.2934,4901889.5944],[378639.4935,4901889.5944],[378639.1936,4901859.5926],[378612.6926,4901859.2919]],[[378606.9094,4901890.8358],[378607.3874,4901891.3128],[378607.3593,4901892.2018],[378606.8663,4901892.5498],[378603.5024,4901892.5789],[378603.0964,4901892.0569],[378603.0874,4901891.4089],[378603.7554,4901890.9309],[378606.9094,4901890.8358]],[[378642.8645,4901890.5974],[378643.8014,4901890.9844],[378643.9114,4901891.5794],[378643.6344,4901892.0424],[378643.1904,4901892.2824],[378640.8994,4901892.3634],[378640.4085,4901892.2655],[378640.1135,4901891.9715],[378640.0155,4901891.3824],[378640.3045,4901890.8604],[378640.7035,4901890.6954],[378642.8645,4901890.5974]]]}"
1979,1,Concrete,1,CONCRETE,"{""type"":""Polygon"",""coordinates"":[[[381251.038,4901913.6336],[381250.215,4901914.9136],[381347.6616,4901923.7127],[381355.1017,4901924.7225],[381355.0017,4901924.0625],[381354.6047,4901923.2125],[381351.7617,4901922.8126],[381251.038,4901913.6336]]]}"
1982,1,Concrete,1,CONCRETE,"{""type"":""Polygon"",""coordinates"":[[[381707.377,4901791.1049],[381717.6066,4901818.9651],[381732.246,4901860.0453],[381739.1767,4901880.0954],[381746.3064,4901899.3955],[381753.7761,4901922.0065],[381754.4761,4901921.5065],[381754.9761,4901920.8065],[381747.5565,4901898.2354],[381740.4367,4901879.0254],[381726.4263,4901838.8752],[381719.1366,4901818.3951],[381711.677,4901798.205],[381709.0771,4901791.4049],[381707.377,4901791.1049]]]}"
1983,1,Concrete,1,CONCRETE,"{""type"":""Polygon"",""coordinates"":[[[381460.9962,4901909.246],[381460.5058,4901919.5112],[381461.8859,4901919.6351],[381462.3761,4901909.369],[381460.9962,4901909.246]]]}"
1984,1,Concrete,1,CONCRETE,"{""type"":""Polygon"",""coordinates"":[[[381132.4431,4901902.806],[381131.4531,4901904.2161],[381200.5662,4901909.915],[381227.1466,4901912.7242],[381238.1478,4901913.634],[381237.9408,4901912.765],[381226.2466,4901911.6943],[381206.4663,4901909.4248],[381184.655,4901907.4645],[381182.555,4901907.1646],[381141.1444,4901903.7058],[381132.4431,4901902.806]]]}"
1985,1,Concrete,1,CONCRETE,"{""type"":""Polygon"",""coordinates"":[[[380780.6018,4901780.5082],[380779.3419,4901804.9176],[380780.1418,4901809.7176],[380781.7416,4901816.3177],[380782.4414,4901823.5178],[380782.1412,4901825.9177],[380781.0412,4901828.1178],[380779.3411,4901829.9179],[380772.8408,4901832.518],[380771.0408,4901833.418],[380769.0407,4901835.2181],[380767.6406,4901837.5181],[380762.3401,4901847.4183],[380758.4398,4901857.4185],[380756.4395,4901864.6186],[380748.0384,4901890.32],[380746.4381,4901898.72],[380711.7796,4901895.8905],[380711.6325,4901897.4695],[380778.9707,4901902.8397],[380779.1547,4901901.4897],[380748.7382,4901899.02],[380748.6383,4901895.9201],[380748.8384,4901893.52],[380749.6385,4901890.12],[380757.7394,4901865.9186],[380759.3397,4901859.0185],[380761.94,4901851.6184],[380764.7403,4901845.4182],[380769.4406,4901836.918],[380772.4408,4901834.518],[380775.741,4901832.618],[380777.5409,4901832.0179],[380780.0411,4901830.6179],[380781.9412,4901828.7178],[380783.2413,4901826.2177],[380783.8414,4901823.5177],[380783.6415,4901820.7177],[380782.5417,4901814.2176],[380780.9418,4901807.8176],[380780.442,4901804.2176],[380781.3415,4901787.9163],[380782.1418,4901780.5712],[380780.6018,4901780.5082]]]}"
