POI_ID,POI_NAME,ADDRESS,POI_TYPE_C,POI_TYPE_D,DESCRIP,GeoJSON
3566,SENIOR STAFF MESS,9 Point Frederick Dr,14,Heritage Site,RMC,"{""type"":""Point"",""coordinates"":[382819.8657,4898279.3177]}"
1765,CATARAQUI ROWING CLUB,9 ORCHARD ST,28,Recreation Facility,,"{""type"":""Point"",""coordinates"":[381806.836,4899930.0681]}"
3569,SAWYER BLDG 1-2,17 General Cerar Cr,84,CFB,RMC,"{""type"":""Point"",""coordinates"":[382863.321,4898531.1609]}"
3571,BIRCHALL PAVILLION,,84,CFB,RMC,"{""type"":""Point"",""coordinates"":[382794.1876,4898952.8748]}"
3574,RMC GATE HOUSE,2 Precision Dr,84,CFB,RMC,"{""type"":""Point"",""coordinates"":[382938.9888,4899077.5676]}"
3562,FORT SAUVE DORMITORY,3 Point Frederick Dr,84,CFB,RMC,"{""type"":""Point"",""coordinates"":[382589.1316,4898483.918]}"
3567,OLD GYMNASIUM,15 Point Frederick Dr,14,Heritage Site,RMC,"{""type"":""Point"",""coordinates"":[382853.0324,4898347.4202]}"
3568,STONE FRIGRATE DORMITORY,19 Point Frederick Dr,14,Heritage Site,RMC,"{""type"":""Point"",""coordinates"":[382876.5724,4898418.4309]}"
3572,NBC TESTING BLDG,14 Billy Bishop Rd,84,CFB,RMC,"{""type"":""Point"",""coordinates"":[382724.0665,4899020.8577]}"
3152,BARRIEFIELD PLAZA,760 HWY 15,30,Shopping Centre,Plaza,"{""type"":""Point"",""coordinates"":[383344.5523,4900965.1494]}"
806,ST. LAWRENCE COLLEGE BLUE WING,100 PORTSMOUTH AVE,27,Queen's University,Post-Secondary Education,"{""type"":""Point"",""coordinates"":[377807.5928,4897699.6152]}"
1501,TRIDENT YACHT CLUB,1699 TRIDENT YACHT CLUB LANE,19,Marina,Marina,"{""type"":""Point"",""coordinates"":[399548.034,4906542.3015]}"
1503,THE BOAT WAREHOUSE,2157 BATH RD,19,Marina,Marina,"{""type"":""Point"",""coordinates"":[372293.99,4899803.8833]}"
1504,TREASURE ISLAND MARINA,1753 HWY 2,19,Marina,Marina,"{""type"":""Point"",""coordinates"":[390041.0613,4902075.6813]}"
1507,COLLINS BAY MARINA,1270 COVERDALE DR,19,Marina,Marina,"{""type"":""Point"",""coordinates"":[371798.5924,4899602.1971]}"
1883,PUMP HOUSE LOT (STEAM MUSEUM),23 ONTARIO ST,59,Parking Lot,Parking Lot,"{""type"":""Point"",""coordinates"":[381388.5128,4897809.5395]}"
1886,ORDNANCE LOT,,59,Parking Lot,Parking Lot,"{""type"":""Point"",""coordinates"":[381237.0138,4899071.0701]}"
1888,ANGROVE LOT,490 MACDONNELL ST,59,Parking Lot,Parking Lot,"{""type"":""Point"",""coordinates"":[381573.4694,4898740.4046]}"
1890,DOUGLAS R. FLUHRER LOT,2 NORTH ST,59,Parking Lot,Parking Lot,"{""type"":""Point"",""coordinates"":[381742.3473,4899298.7586]}"
1893,HANSON MEMORIAL GARAGE,,59,Parking Lot,Parking Lot,"{""type"":""Point"",""coordinates"":[381541.0954,4898604.6729]}"
1894,HOLIDAY INN LOT,,59,Parking Lot,Parking Lot,"{""type"":""Point"",""coordinates"":[381940.6257,4898635.1693]}"
1896,GILAD LOT,19 Brock St,59,Parking Lot,Parking Lot,"{""type"":""Point"",""coordinates"":[381787.1135,4898560.1677]}"
1897,FRONTENAC COUNTY COURT HOUSE LOT,150 WEST ST,59,Parking Lot,Parking Lot,"{""type"":""Point"",""coordinates"":[381041.5777,4898319.0067]}"
1900,RICHARDSON BEACH LOT,,59,Parking Lot,Parking Lot,"{""type"":""Point"",""coordinates"":[381012.2733,4897674.5818]}"
876,KINGSTON CHINESE ALLIANCE CHURCH,230 MACDONNELL ST,24,Place of Worship,Place of Worship,"{""type"":""Point"",""coordinates"":[379777.5199,4898794.6432]}"
899,COOKE'S PORTSMOUTH UNITED CHURCH,200 NORMAN ROGERS DR,24,Place of Worship,Place of Worship,"{""type"":""Point"",""coordinates"":[378359.8511,4898861.7505]}"
13,FAIRFIELD MANOR EAST,670 MACLEAN CRT,18,Long Term Care,Long Term Care,"{""type"":""Point"",""coordinates"":[383570.9799,4901551.2715]}"
16,PROVIDENCE MANOR,275 SYDENHAM ST,18,Long Term Care,Long Term Care,"{""type"":""Point"",""coordinates"":[381341.6291,4899095.8648]}"
20,RIDEAUCREST HOME,175 RIDEAU ST,18,Long Term Care,Long Term Care,"{""type"":""Point"",""coordinates"":[381627.7841,4899392.4974]}"
1576,TRILLIUM CHILD CARE CENTRE,790 EDGAR STREET,8,Childcare Facility,Childcare Facility,"{""type"":""Point"",""coordinates"":[376194.7834,4900893.5903]}"
972,BEXLEY GATE PARK,836 MUIRFIELD CRES,22,Park,Park,"{""type"":""Point"",""coordinates"":[375388.8495,4901168.1341]}"
1725,STAUFFER LIBRARY,101 UNION ST,27,Queen's University,Queen's University,"{""type"":""Point"",""coordinates"":[380500.5528,4898314.5886]}"
1732,THE WINDMILL CAFE,182 PRINCESS ST,12,Gallery,Gallery,"{""type"":""Point"",""coordinates"":[381375.0741,4898697.9924]}"
1175,,153 ROBERT WALLACE DR,48,Picnic Facility,Picnic Facility,"{""type"":""Point"",""coordinates"":[377903.2931,4899151.2042]}"
1176,,2991 2 HWY,48,Picnic Facility,Picnic Facility,"{""type"":""Point"",""coordinates"":[395498.2229,4905204.7528]}"
1177,,470 MAPLE LAWN DR,48,Picnic Facility,Picnic Facility,"{""type"":""Point"",""coordinates"":[383735.946,4906506.219]}"
1733,KINGSTON FRAME WORKS,200 PRINCESS ST,12,Gallery,Gallery,"{""type"":""Point"",""coordinates"":[381344.1446,4898704.7893]}"
1734,HEATHER HALL IMAGES,1098 2 HWY,12,Gallery,Gallery,"{""type"":""Point"",""coordinates"":[387163.0893,4900489.0478]}"
1735,GALLERY RAYMOND,334 PRINCESS ST,12,Gallery,Gallery,"{""type"":""Point"",""coordinates"":[381021.3677,4898781.4068]}"
1736,THE SLEEPLESS GOAT,89 PRINCESS ST,12,Gallery,Gallery,"{""type"":""Point"",""coordinates"":[381640.9773,4898671.8193]}"
1737,TRIBAL VOICES,186 WELLINGTON ST,12,Gallery,Gallery,"{""type"":""Point"",""coordinates"":[381583.9332,4898628.4321]}"
1558,BAY PARK CHILDREN'S CENTRE,775 PROGRESS AVENUE,8,Childcare Facility,Childcare Facility,"{""type"":""Point"",""coordinates"":[374020.4439,4900529.7182]}"
1559,HELEN TUFTS NURSERY SCHOOL,211 JOHNSON STREET,8,Childcare Facility,Childcare Facility,"{""type"":""Point"",""coordinates"":[381175.3327,4898597.7949]}"
1560,LIMESTONE ADVISORY - THE KID'S PLACE,1044 LANCASTER DRIVE,8,Childcare Facility,Childcare Facility,"{""type"":""Point"",""coordinates"":[372461.4317,4901489.2895]}"
1561,F.C.C.C. - CENTENNIAL S.A.,120 NORMAN ROGERS DRIVE,8,Childcare Facility,Childcare Facility,"{""type"":""Point"",""coordinates"":[378656.8674,4898703.0915]}"
1562,F.C.C.C. - WELBORNE PUBLIC S.A. PROGRAM,190 WELBORNE AVENUE,8,Childcare Facility,Childcare Facility,"{""type"":""Point"",""coordinates"":[373864.8925,4897764.3962]}"
1563,F.C.C.C. - RIDEAU HIEGHTS,77 MACCAULEY STREET,8,Childcare Facility,Childcare Facility,"{""type"":""Point"",""coordinates"":[381769.0743,4902401.4992]}"
1564,KINGSTON FAMAILY Y - WINSTON CHURCHILL S.A.,530 EARL STREET,8,Childcare Facility,Childcare Facility,"{""type"":""Point"",""coordinates"":[379858.4718,4898440.5951]}"
3233,CREEKFORD WATER TOWER,2754 Creekford Rd,88,Municipal Government Facility,,"{""type"":""Point"",""coordinates"":[374115.6213,4904165.4422]}"
4248,85 Lappan's Ln Microwave Dish,85 LAPPAN'S LN,90,Cell Antenna,Cell Antenna,"{""type"":""Point"",""coordinates"":[379541.5979,4901874.1316]}"
1568,F.C.C.C. - LCVI CHILDCARE CENTRE,153 VAN ORDER DRIVE,8,Childcare Facility,Childcare Facility,"{""type"":""Point"",""coordinates"":[378554.264,4899516.7856]}"
1569,LA GARDERIE EDUCATIVE DE KINGSTON - S.A.,165 ROBERT WALLACE DRIVE,8,Childcare Facility,Childcare Facility,"{""type"":""Point"",""coordinates"":[377822.4824,4899136.6415]}"
1570,KDC - ST. MARTHA CHILD CARE CENTRE,455 ST. MARTHA STREET,8,Childcare Facility,Childcare Facility,"{""type"":""Point"",""coordinates"":[384443.4596,4902355.4034]}"
426,RIDEAU HEIGHTS PUBLIC SCHOOL,77 MACCAULEY ST,32,Soccer Field,Soccer Field,"{""type"":""Point"",""coordinates"":[381664.4098,4902450.0143]}"
431,VICTORIA PARK MULTI USE COURT,487 BROCK ST,35,Tennis Court,Tennis Court,"{""type"":""Point"",""coordinates"":[380276.7476,4898930.8708]}"
1382,,487 BROCK ST,48,Picnic Facility,Picnic Facility,"{""type"":""Point"",""coordinates"":[380360.9499,4898887.7876]}"
1575,HARROWSMITH PRESCHOOL,,8,Childcare Facility,Childcare Facility,"{""type"":""Point"",""coordinates"":[367893.5879,4919104.1733]}"
1835,VICTORIA PARK OUTDOOR RINK,487 BROCK ST,21,Outdoor Rink,Outdoor Rink,"{""type"":""Point"",""coordinates"":[380245.9324,4898874.7448]}"
1903,LOWER UNION LOT,,59,Parking Lot,Parking Lot,"{""type"":""Point"",""coordinates"":[381505.4032,4897951.8341]}"
1579,BAYRIDGE DRIVE CHILD CARE CENTRE,1035 BAYRIDGE DRIVE,8,Childcare Facility,Childcare Facility,"{""type"":""Point"",""coordinates"":[373565.2269,4902143.3132]}"
1580,KDC - COLLINS BAY CHILD CARE CENTRE,4075 BATH ROAD,8,Childcare Facility,Childcare Facility,"{""type"":""Point"",""coordinates"":[371263.2894,4899918.2069]}"
1581,SOMETHING SPECIAL CHILDREN'S CENTRE,321 QUEEN ST,8,Childcare Facility,Childcare Facility,"{""type"":""Point"",""coordinates"":[380817.7176,4898966.4625]}"
4288,VICTORIA PARK MULTI USE COURT,487 BROCK ST,3,Basketball Court,Basketball Court,"{""type"":""Point"",""coordinates"":[380248.8492,4898943.7229]}"
