CYCLE_STATUS,CYCLE_TYPE,CONSTRUCTION_STATUS,CONSTRUCTION_TYPE,CONSTRUCTION_REASON,CYCLE_WIDTH,GeoJSON
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[376354.9697,4899442.5149],[376350.3659,4899479.0275],[376349.5721,4899495.22],[376347.5084,4899588.5652]]}"
Bike Lane,Diamond Symbol,Constructed,Rehabilitation - Asphalt Overlay,2009 Project,,"{""type"":""LineString"",""coordinates"":[[375148.5429,4900925.6225],[375316.5625,4900940.5878],[375336.9697,4900941.4948],[375355.7897,4900941.9483],[375368.4875,4900941.9483],[375386.1738,4900941.0413],[375407.7148,4900938.0936]]}"
Bike Lane,Diamond Symbol,Constructed,Rehabilitation - Asphalt Overlay,2009 Project,1.5,"{""type"":""LineString"",""coordinates"":[[375391.389,4900960.9951],[375372.3423,4900962.1288],[375353.0687,4900962.3556],[375335.3825,4900962.1288],[375319.0567,4900961.2218],[375176.8863,4900946.71]]}"
Bike Lane,Diamond Symbol,Constructed,Rehabilitation - Asphalt Overlay,2009 Project,,"{""type"":""LineString"",""coordinates"":[[375407.7148,4900938.0936],[375428.8023,4900934.9192],[375452.1572,4900929.9307],[375473.9249,4900924.0353],[375492.9717,4900917.9131],[375531.292,4900903.6281],[375624.9385,4900867.1218],[375658.7238,4900853.517],[375683.2125,4900842.8598],[375733.7771,4900821.3189],[375768.4694,4900807.0338],[375793.8651,4900798.1907],[375815.1793,4900792.0685],[375830.787,4900787.9405]]}"
Bike Lane,Diamond Symbol,Constructed,Rehabilitation - Asphalt Overlay,2009 Project,,"{""type"":""LineString"",""coordinates"":[[375821.8546,4900811.7205],[375795.3252,4900819.4299],[375766.7551,4900829.6335],[375702.3589,4900854.3489],[375543.8627,4900918.9719],[375522.3217,4900928.4952],[375498.2865,4900938.0186],[375476.9723,4900944.5943],[375452.2569,4900950.9432],[375430.1012,4900954.9458]]}"
Bike Lane,Diamond Symbol,Constructed,Rehabilitation - Asphalt Overlay,2009 Project,,"{""type"":""LineString"",""coordinates"":[[375885.2507,4900776.9037],[375911.7801,4900773.5025],[375933.5478,4900771.4618],[375958.7167,4900769.8746],[375984.3391,4900769.6478],[376014.95,4900771.2351],[376032.7791,4900772.8002]]}"
Bike Lane,Diamond Symbol,Constructed,Rehabilitation - Asphalt Overlay,2009 Project,,"{""type"":""LineString"",""coordinates"":[[376031.1214,4900793.9722],[376009.5081,4900791.6423],[375991.1416,4900790.5086],[375966.8796,4900790.7353],[375935.5885,4900792.3225],[375913.1406,4900793.683],[375890.4659,4900796.8575],[375874.3905,4900799.7938]]}"
Bike Lane,Diamond Symbol,Constructed,Rehabilitation - Asphalt Overlay,2009 Project,,"{""type"":""LineString"",""coordinates"":[[376032.7791,4900772.8002],[376061.4332,4900776.2235],[376086.1486,4900780.5317],[376119.7072,4900788.6946],[376168.4578,4900802.7529],[376202.0164,4900814.9972],[376226.505,4900825.2009],[376258.0229,4900839.9394],[376282.2848,4900852.864],[376321.0586,4900877.5794],[376436.9263,4900959.4351],[376492.0259,4901000.2496]]}"
Bike Lane,Diamond Symbol,Constructed,Rehabilitation - Asphalt Overlay,2009 Project,,"{""type"":""LineString"",""coordinates"":[[376469.3867,4901007.0159],[376431.1023,4900977.6772],[376398.6775,4900954.0955],[376364.6654,4900928.4731],[376333.3743,4900905.3449],[376303.8972,4900884.9377],[376285.7575,4900873.1468],[376259.228,4900857.728],[376229.7509,4900843.6697],[376207.303,4900833.9196],[376186.4422,4900825.7567],[376158.3256,4900815.7798],[376137.0114,4900809.8844],[376104.133,4900802.175],[376073.7489,4900797.64],[376031.1462,4900793.6745]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[374825.5767,4897330.6482],[374912.4132,4897336.0457]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[374940.6707,4897337.4745],[375029.5709,4897342.5545]]}"
